promo_id,promo_name,start_date,end_date,discount_pct,promo_type,target_type,target_value
P0001,BOGO ALL 25%,2025-03-29,2025-04-11,25,BOGO,Storewide,ALL
P0002,Bundle Beverages 30%,2025-10-01,2025-10-08,30,Bundle,Category,Beverages
P0003,Flash Sale Skin 25%,2025-09-26,2025-10-02,25,Flash Sale,Subcategory,Skin
P0004,Discount ALL 30%,2025-12-11,2025-12-24,30,Discount,Storewide,ALL
P0005,Discount Electronics 15%,2025-03-31,2025-04-10,15,Discount,Category,Electronics
P0006,Discount Electronics 20%,2025-12-01,2025-12-07,20,Discount,Category,Electronics
P0007,Discount Nuts 15%,2025-11-19,2025-12-02,15,Discount,Subcategory,Nuts
P0008,Flash Sale Frozen 5%,2025-04-02,2025-04-14,5,Flash Sale,Subcategory,Frozen
P0009,Flash Sale Snacks 10%,2025-12-02,2025-12-09,10,Flash Sale,Category,Snacks
P0010,BOGO Snacks 20%,2025-05-08,2025-05-15,20,BOGO,Category,Snacks
P0011,Discount Kitchenware 5%,2025-05-30,2025-06-08,5,Discount,Subcategory,Kitchenware
P0012,Discount Aroma 10%,2025-07-08,2025-07-19,10,Discount,Brand,Aroma
P0013,Discount Electronics 25%,2025-03-29,2025-04-06,25,Discount,Category,Electronics
P0014,Flash Sale ALL 20%,2025-11-30,2025-12-04,20,Flash Sale,Storewide,ALL
P0015,Discount ALL 15%,2025-11-26,2025-12-05,15,Discount,Storewide,ALL
P0016,Discount Grocery 20%,2025-02-09,2025-02-17,20,Discount,Category,Grocery
P0017,Discount EcoHome 25%,2025-12-11,2025-12-29,25,Discount,Brand,EcoHome
P0018,Discount ALL 10%,2025-12-04,2025-12-10,10,Discount,Storewide,ALL
P0019,Bundle Aroma 10%,2025-02-25,2025-03-04,10,Bundle,Brand,Aroma
P0020,Discount ALL 15%,2025-11-26,2025-11-29,15,Discount,Storewide,ALL
P0021,Discount ALL 10%,2025-03-14,2025-03-19,10,Discount,Storewide,ALL
P0022,Discount ALL 30%,2025-03-07,2025-03-13,30,Discount,Storewide,ALL
P0023,Discount Yogurt 20%,2025-11-30,2025-12-05,20,Discount,Subcategory,Yogurt
P0024,Discount ALL 15%,2025-03-16,2025-03-21,15,Discount,Storewide,ALL
P0025,Discount Oral 20%,2025-05-13,2025-05-20,20,Discount,Subcategory,Oral
P0026,Discount Household 15%,2025-12-12,2025-12-31,15,Discount,Category,Household
P0027,Discount Snacks 10%,2025-02-24,2025-03-07,10,Discount,Category,Snacks
P0028,Discount Hair 5%,2025-12-06,2025-12-17,5,Discount,Subcategory,Hair
P0029,Discount Household 15%,2025-12-13,2025-12-24,15,Discount,Category,Household
